# FKCTX_COUNTS 1
# chunk_count=322253
# corpus_sha256=6f363cf9acc1efc0bf7bad645d0fb693a6e08bf3110fbdadcfc123a9e9612b6f
# database_sha256=991a13b8552748ea2c35fb229446809869a0ceee14ba0107a65351c8527efbc2
# seed_sha256=1ca65d164a833af40de728f5d9d8edd831cca8177516f72285ed2d0429a707eb
# sentence_count=248802
# tokenizer_version=1
kind	previous_surface	next_surface	count
U	-	彼	28736
U	-	私	27041
U	-	ト	16232
U	-	その	16124
U	-	彼女	15808
U	-	こと	13118
U	-	この	11495
U	-	いた	7519
U	-	んだ	6863
U	-	して	6353
U	-	あなた	6324
U	-	で	6203
U	-	よう	5915
U	-	何	5710
U	-	人	5674
U	-	それ	5372
U	-	彼の	5358
U	-	ある	5147
U	-	います	5065
U	-	君	4949
U	-	だった	4929
U	-	と	4852
U	-	した	4674
U	-	私たち	4450
U	-	彼ら	4127
U	-	ですか	4065
U	-	いい	4016
U	-	い	3843
U	-	好き	3732
U	-	家	3566
U	-	もの	3478
U	-	自分	3460
U	-	ください	3429
U	-	これ	3348
U	-	いる	3253
U	-	アリ	3252
U	-	本	3248
U	-	中	2982
U	-	もう	2976
U	-	仕事	2944
U	-	する	2932
U	-	僕	2901
U	-	わ	2701
U	-	ここ	2692
U	-	では	2669
U	-	今	2642
U	-	とても	2633
U	-	今日	2532
U	-	よく	2406
U	-	だろう	2365
U	-	ため	2327
U	-	あの	2317
U	-	誰	2313
U	-	車	2275
U	-	前	2273
U	-	きた	2195
U	-	あります	2160
U	-	のです	2152
U	-	話	2137
U	-	時間	2135
U	-	いない	2111
U	-	なった	2055
U	-	時	2049
U	-	思う	1966
U	-	行く	1958
U	-	たい	1901
U	-	英語	1886
U	-	なかった	1876
U	-	いつ	1872
U	-	必要	1857
U	-	なる	1852
U	-	なの	1835
U	-	どこ	1818
U	-	どう	1802
U	-	ます	1780
U	-	持って	1780
U	-	問題	1751
U	-	あった	1745
U	-	なって	1728
U	-	部屋	1727
U	-	学校	1726
U	-	知って	1726
U	-	という	1725
U	-	あり	1699
U	-	ついて	1696
U	-	んです	1694
U	-	とき	1676
U	-	された	1673
U	-	すぐ	1666
U	-	明日	1659
U	-	日	1620
U	-	言	1611
U	-	ろう	1602
U	-	言った	1595
U	-	我々	1589
U	-	行った	1571
U	-	たの	1564
U	-	昨日	1562
U	-	新しい	1528
U	-	いつも	1465
U	-	でしょう	1463
U	-	言う	1459
U	-	年	1458
U	-	しまった	1445
U	-	行	1444
U	-	くれた	1443
U	-	フランス語	1439
U	-	思って	1432
U	-	なければならない	1394
U	-	め	1383
U	-	そんな	1376
U	-	先生	1373
U	-	私達	1372
U	-	事	1350
U	-	お金	1349
U	-	方	1343
U	-	見た	1343
U	-	たくさん	1339
U	-	父	1323
U	-	間	1323
U	-	子供	1322
U	-	気	1318
U	-	そこ	1309
U	-	犬	1308
U	-	手	1273
U	-	ところ	1266
U	-	つもり	1259
U	-	ン	1250
U	-	友達	1242
U	-	日本	1241
U	-	本当	1241
U	-	目	1236
U	-	見て	1236
U	-	やって	1221
U	-	多く	1219
U	-	少し	1216
U	-	できる	1214
U	-	されて	1195
U	-	できない	1167
U	-	そう	1160
U	-	的	1154
U	-	ませんか	1153
U	-	上	1135
U	-	みんな	1129
U	-	もっと	1129
U	-	住んで	1129
U	-	考え	1127
U	-	出	1126
U	-	雨	1123
U	-	う	1117
U	-	手紙	1105
U	-	電話	1075
U	-	勉強	1064
U	-	一緒	1053
U	-	のだ	1051
U	-	ちょっと	1040
U	-	会	1040
U	-	一番	1024
U	-	後	1013
U	-	言って	1012
U	-	男	1011
U	-	子	1010
U	-	水	987
U	-	す	981
U	-	下さい	980
U	-	計画	976
U	-	行き	973
U	-	ない	961
U	-	み	960
U	-	俺	957
U	-	ましょう	950
U	-	しない	941
U	-	ま	941
U	-	また	932
U	-	同じ	919
U	-	者	915
U	-	母	911
U	-	まだ	907
U	-	あまり	899
U	-	ほとんど	892
U	-	バス	891
U	-	もし	890
U	-	言葉	888
U	-	てる	873
U	-	名前	866
U	-	早く	865
U	-	どうして	853
U	-	いて	851
U	-	聞いて	849
U	-	来る	848
U	-	すべて	844
U	-	思います	844
U	-	病気	833
U	-	はま	831
U	-	駅	831
U	-	いました	829
U	-	ずっと	820
U	-	せ	818
U	-	映画	808
U	-	いけない	806
U	-	さい	800
U	-	ろ	799
U	-	見る	799
U	-	テレビ	797
U	-	される	794
U	-	国	793
U	-	少年	793
U	-	ボストン	790
U	-	なければ	787
U	-	パーティー	786
U	-	一人	781
U	-	いった	780
U	-	うち	780
U	-	金	780
U	-	買った	776
U	-	事故	770
U	-	ように	769
U	-	歳	768
U	-	悪い	766
U	-	話す	758
U	-	大きな	757
U	-	会社	752
U	-	道	752
U	-	ほう	736
U	-	猫	727
U	-	ドア	725
U	-	毎日	722
U	-	人々	720
U	-	こう	719
U	-	通り	716
U	-	アメリカ	714
U	-	食べた	712
U	-	下	710
U	-	思った	709
U	-	コーヒー	708
U	-	いか	707
U	-	本の	707
U	-	お前	706
U	-	息子	705
U	-	試験	701
U	-	どんな	700
U	-	町	698
U	-	次	696
U	-	以上	686
U	-	まし	685
U	-	かもしれない	683
U	-	みたい	680
U	-	ちゃった	679
U	-	学生	679
U	-	夜	675
U	-	世界	674
U	-	成功	673
U	-	医者	672
U	-	良い	671
U	-	人間	666
U	-	知らない	666
U	-	花	665
U	-	顔	659
U	-	ジョン	655
U	-	旅行	655
U	-	来て	651
U	-	朝	645
U	-	頭	644
U	-	あれ	639
U	-	全部	639
U	-	会った	635
U	-	食	635
U	-	最近	633
U	-	待って	632
U	-	心	630
U	-	どうか	623
U	-	大	623
U	-	まれ	620
U	-	月	619
U	-	ドル	618
U	-	ならない	614
U	-	方がいい	614
U	-	生活	614
U	-	入って	611
U	-	来た	611
U	-	東京	611
U	-	雪	603
U	-	なくて	602
U	-	他	602
U	-	大変	601
U	-	女性	601
U	-	川	595
U	-	つ	591
U	-	健康	591
U	-	ん	588
U	-	音楽	587
U	-	木	586
U	-	窓	584
U	-	電車	584
U	-	意見	583
U	-	すね	581
U	-	そうだ	580
U	-	そんなに	576
U	-	両親	576
U	-	全く	575
U	-	外	574
U	-	店	573
U	-	大学	572
U	-	らい	571
U	-	家族	569
U	-	聞いた	569
U	-	こんな	563
U	-	生徒	561
U	-	よって	559
U	-	女の子	558
U	-	結婚	558
U	-	寝	557
U	-	飛行機	555
U	-	かけ	554
U	-	多い	554
U	-	難しい	553
U	-	写真	549
U	-	高い	547
U	-	列車	542
U	-	山	541
U	-	食べる	538
U	-	美しい	537
U	-	親切	535
U	-	声	534
U	-	教え	533
U	-	一つ	532
U	-	でしょうか	530
U	-	食べて	527
U	-	いくら	526
U	-	上手	526
U	-	どの	525
U	-	夢	523
U	-	料理	522
U	-	行って	521
U	-	なんで	520
U	-	始めた	520
U	-	人生	519
U	-	大好き	515
U	-	いなかった	514
U	-	たん	514
U	-	試合	510
U	-	きて	508
U	-	非常	508
U	-	だから	507
U	-	ち	505
U	-	物	505
U	-	テニス	504
U	-	音	503
U	-	理解	502
U	-	意味	501
U	-	決して	500
U	-	やった	499
U	-	わた	498
U	-	見える	496
U	-	かり	494
U	-	宿題	494
U	-	なんて	493
U	-	歌	493
U	-	読んで	493
U	-	口	492
U	-	幸せ	492
U	-	日本語	488
U	-	足	488
U	-	近く	488
U	-	力	487
U	-	自転車	487
U	-	結果	485
U	-	語	485
U	-	服	484
U	-	ただ	483
U	-	友人	483
U	-	時計	482
U	-	子供たち	481
U	-	どちら	479
U	-	夏	479
U	-	十分	478
U	-	質問	478
U	-	ことがある	477
U	-	教えて	477
U	-	読む	476
U	-	帰って	474
U	-	とって	470
U	-	二人	470
U	-	公園	468
U	-	場所	467
U	-	これら	466
U	-	関係	465
U	-	買う	463
U	-	予定	461
U	-	のように	459
U	-	オーストラリア	459
U	-	重要	458
U	-	買って	456
U	-	娘	455
U	-	ませんでした	454
U	-	助け	454
U	-	ホテル	453
U	-	わからない	452
U	-	何か	451
U	-	欲しい	451
U	-	つけ	450
U	-	なぜ	450
U	-	簡単	450
U	-	何時	445
U	-	分	443
U	-	昔	443
U	-	午後	442
U	-	警察	441
U	-	すぎる	440
U	-	嘘	440
U	-	知らせ	438
U	-	食事	438
U	-	体	437
U	-	使って	437
U	-	手伝って	437
U	-	理由	437
U	-	箱	437
U	-	すべき	436
U	-	歩いて	434
U	-	かの	433
U	-	運転	433
U	-	あいつ	428
U	-	全	428
U	-	辞書	427
U	-	クラス	425
U	-	最初	425
U	-	長い	424
U	-	靴	424
U	-	きれい	423
U	-	古い	423
U	-	船	423
U	-	お母さん	421
U	-	します	420
U	-	分からない	420
U	-	危険	420
U	-	名	419
U	-	約束	419
U	-	若い	419
U	-	風	419
U	-	嫌い	418
U	-	魚	418
U	-	人たち	417
U	-	妻	417
U	-	小	415
U	-	ことができる	414
U	-	数	414
U	-	空	414
U	-	働いて	412
U	-	話して	412
U	-	でしょ	411
U	-	０	411
U	-	一生懸命	409
U	-	大切	409
U	-	授業	407
U	-	新聞	407
U	-	少女	404
U	-	愛	404
U	-	もらった	403
U	-	お父さん	402
U	-	必ず	402
U	-	死	401
U	-	鍵	401
U	-	天気	399
U	-	小説	398
U	-	行きます	398
U	-	まま	397
U	-	薬	397
U	-	ほど	396
U	-	違い	396
U	-	かなり	395
U	-	今夜	393
U	-	絵	391
U	-	会議	387
U	-	点	387
U	-	チーム	386
U	-	気持ち	386
U	-	忙しい	383
U	-	鳥	383
U	-	みた	381
U	-	テーブル	379
U	-	一度	378
U	-	出発	378
U	-	最後	377
U	-	しな	375
U	-	だれ	375
U	-	みな	375
U	-	こちら	374
U	-	動物	374
U	-	終わった	374
U	-	努力	373
U	-	弟	373
U	-	書いて	373
U	-	いけません	371
U	-	書	371
U	-	時代	370
U	-	いっぱい	369
U	-	たか	369
U	-	日曜日	369
U	-	着いた	369
U	-	よりも	368
U	-	最も	368
U	-	静か	368
U	-	皆	367
U	-	たくない	366
U	-	書く	366
U	-	ふ	364
U	-	興味	364
U	-	円	363
U	-	作	362
U	-	母親	362
U	-	ア	361
U	-	気分	360
U	-	元気	359
U	-	海	359
U	-	きます	358
U	-	ついた	358
U	-	ケーキ	358
U	-	冬	358
U	-	ビル	357
U	-	今年	357
U	-	答え	356
U	-	自由	356
U	-	違う	355
U	-	間違い	354
U	-	事実	353
U	-	方法	353
U	-	妹	352
U	-	つく	351
U	-	席	351
U	-	着	351
U	-	昨夜	350
U	-	高	350
U	-	兄	349
U	-	おいて	348
U	-	ちょうど	348
U	-	なります	347
U	-	初め	347
U	-	文	347
U	-	会う	346
U	-	誰か	345
U	-	心配	344
U	-	説明	344
U	-	以前	341
U	-	正しい	341
U	-	すれば	340
U	-	いって	339
U	-	戦争	339
U	-	書いた	339
U	-	野球	339
U	-	庭	338
U	-	死んだ	337
U	-	すぎ	336
U	-	信じて	335
U	-	疲れ	335
U	-	しま	334
U	-	思い	334
U	-	父親	334
U	-	言語	333
U	-	けられ	332
U	-	使う	331
U	-	価値	331
U	-	忘れて	331
U	-	楽しみ	331
U	-	今朝	330
U	-	きっと	329
U	-	対して	329
U	-	ことがない	328
U	-	ごめん	328
U	-	探して	328
U	-	机	328
U	-	耳	328
U	-	お願いします	327
U	-	させる	327
U	-	全然	327
U	-	出来	326
U	-	感じ	326
U	-	突然	326
U	-	起こった	326
U	-	させた	325
U	-	ならなかった	325
U	-	取り	325
U	-	太陽	325
U	-	正直	325
U	-	できなかった	324
U	-	場合	324
U	-	所	324
U	-	ピアノ	323
U	-	他人	323
U	-	帽子	323
U	-	読み	323
U	-	ニュース	322
U	-	失敗	322
U	-	もう一度	321
U	-	別	321
U	-	戻って	321
U	-	楽しい	321
U	-	行動	321
U	-	覚え	321
U	-	させて	320
U	-	すごく	320
U	-	夕食	319
U	-	立って	319
U	-	パン	318
U	-	ペン	318
U	-	男の子	318
U	-	病院	318
U	-	準備	317
U	-	色	317
U	-	あって	315
U	-	くれない	314
U	-	日本人	314
U	-	誕生日	314
U	-	何の	313
U	-	髪	313
U	-	散歩	312
U	-	遅れ	312
U	-	やる	310
U	-	大丈夫	310
U	-	田	310
U	-	限り	310
U	-	図書館	307
U	-	女	306
U	-	見つけた	306
U	-	先	305
U	-	村	305
U	-	にも	304
U	-	食べ物	304
U	-	驚いた	304
U	-	タバコ	303
U	-	での	302
U	-	ロンドン	302
U	-	今度	302
